Temp./°C;C1_S3;C1_S5;C2_S3;C2_S5;C3_S3;C3_S5;C4_S3;C4_S5;C5_S3;C5_S5;C6_S3;C6_S5;C7_S3;C7_S5;C8_S3;C8_S5;C9_S3;C9_S5;C10_S3;C10_S5
-27.65517;     -0.28629;      0.29632;     -0.26812;0.27996;     -0.25642;0.29215;     -0.23187;0.28915;     -0.24346;0.28984;     -0.27643;0.30067;     -0.26561;0.28233;     -0.29654;0.30878;     -0.31436;0.31452;     -0.29660;0.30051
-26.65517;     -0.28742;      0.29556;     -0.26919;0.27943;     -0.27181;0.2901;     -0.24743;0.28576;     -0.26007;0.28847;     -0.29789;0.29963;     -0.26513;0.28116;     -0.30165;0.30859;     -0.31737;0.31461;     -0.29747;0.30048
-25.65517;     -0.28762;      0.29407;     -0.26998;0.27876;     -0.28293;0.28855;     -0.26008;0.28113;     -0.27370;0.28732;     -0.30378;0.29895;     -0.26280;0.28004;     -0.30235;0.30855;     -0.31748;0.3149;     -0.29811;0.30045
-24.65517;     -0.28922;      0.29382;     -0.27078;0.27855;     -0.28939;0.28784;     -0.26819;0.27672;     -0.28239;0.28663;     -0.29919;0.29876;     -0.26436;0.27953;     -0.30312;0.30881;     -0.31861;0.31546;     -0.29897;0.30092
-23.65517;     -0.28983;      0.29302;     -0.27162;0.27881;     -0.29127;0.2879;     -0.27048;0.27238;     -0.28534;0.28655;     -0.29992;0.29921;     -0.26572;0.27936;     -0.30380;0.30936;     -0.31938;0.31627;     -0.29999;0.30178
-22.65517;     -0.29090;      0.29377;     -0.27259;0.27916;     -0.29209;0.2887;     -0.27039;0.27037;     -0.28609;0.28703;     -0.30099;0.29981;     -0.26640;0.27974;     -0.30467;0.31013;     -0.32029;0.3173;     -0.30073;0.30272
-21.65517;     -0.29203;      0.29439;     -0.27348;0.27979;     -0.29285;0.28986;     -0.27090;0.27007;     -0.28666;0.28792;     -0.30172;0.30096;     -0.26755;0.28047;     -0.30565;0.31109;     -0.32127;0.31844;     -0.30181;0.30385
-20.65517;     -0.29285;      0.29573;     -0.27450;0.28056;     -0.29371;0.29126;     -0.27162;0.27095;     -0.28745;0.28906;     -0.30262;0.30247;     -0.26867;0.28142;     -0.30658;0.31223;     -0.32224;0.31975;     -0.30300;0.30507
-19.65517;     -0.29417;      0.29729;     -0.27543;0.28146;     -0.29460;0.29278;     -0.27229;0.27233;     -0.28828;0.29034;     -0.30358;0.30401;     -0.26972;0.28254;     -0.30767;0.31336;     -0.32338;0.32107;     -0.30451;0.3064
-18.65517;     -0.29477;      0.29907;     -0.27637;0.28234;     -0.29564;0.29411;     -0.27308;0.27439;     -0.28908;0.29161;     -0.30461;0.30579;     -0.27074;0.28356;     -0.30874;0.31453;     -0.32452;0.32237;     -0.30579;0.30775
-17.65517;     -0.29552;      0.30067;     -0.27722;0.28326;     -0.29665;0.29531;     -0.27387;0.27623;     -0.29000;0.29282;     -0.30558;0.30709;     -0.27174;0.28458;     -0.30992;0.31568;     -0.32574;0.32363;     -0.30727;0.3091
-16.65517;     -0.29696;      0.30197;     -0.27814;0.28415;     -0.29764;0.29633;     -0.27468;0.27788;     -0.29095;0.29399;     -0.30656;0.30836;     -0.27274;0.28555;     -0.31109;0.3167;     -0.32693;0.32485;     -0.30848;0.31042
-15.65517;     -0.29778;      0.30314;     -0.27912;0.28505;     -0.29853;0.2974;     -0.27558;0.27934;     -0.29190;0.29504;     -0.30758;0.3096;     -0.27391;0.28644;     -0.31244;0.3178;     -0.32813;0.32608;     -0.30969;0.31171
-14.65517;     -0.29833;      0.30394;     -0.28004;0.28594;     -0.29939;0.29836;     -0.27654;0.28047;     -0.29289;0.29602;     -0.30856;0.3107;     -0.27502;0.28735;     -0.31371;0.31886;     -0.32934;0.32733;     -0.31088;0.31303
-13.65517;     -0.29972;      0.30460;     -0.28107;0.28681;     -0.30019;0.29928;     -0.27747;0.28152;     -0.29378;0.29692;     -0.31001;0.31182;     -0.27635;0.28817;     -0.31508;0.31982;     -0.33051;0.32854;     -0.31199;0.31429
-12.65517;     -0.30070;      0.30570;     -0.28209;0.2877;     -0.30109;0.3002;     -0.27844;0.28232;     -0.29470;0.2978;     -0.31173;0.31297;     -0.27758;0.28904;     -0.31636;0.32091;     -0.33170;0.32977;     -0.31323;0.31557
-11.65517;     -0.30132;      0.30649;     -0.28315;0.28856;     -0.30201;0.30111;     -0.27931;0.28309;     -0.29560;0.29863;     -0.31270;0.31411;     -0.27893;0.28987;     -0.31753;0.32189;     -0.33282;0.33099;     -0.31440;0.31686
-10.65517;     -0.30266;      0.30725;     -0.28432;0.28941;     -0.30298;0.30198;     -0.28015;0.2838;     -0.29651;0.29949;     -0.31316;0.3153;     -0.28016;0.2907;     -0.31870;0.32284;     -0.33392;0.33217;     -0.31557;0.31807
-9.65517;     -0.30332;      0.30831;     -0.28537;0.29024;     -0.30390;0.3029;     -0.28104;0.28434;     -0.29746;0.30033;     -0.31350;0.31643;     -0.28127;0.29153;     -0.31974;0.3239;     -0.33503;0.33336;     -0.31655;0.31936
-8.65517;     -0.30472;      0.30940;     -0.28645;0.29107;     -0.30483;0.3039;     -0.28194;0.28503;     -0.29845;0.30124;     -0.31390;0.31762;     -0.28230;0.29239;     -0.32079;0.32489;     -0.33599;0.33453;     -0.31778;0.32063
